User_ID;Age;Age_Range;Country;Streaming Platform;Top Genre;Hours Streamed Per Day_Decimal;Number of Songs Liked;Most Played Artist;Subscription Type;Listening Time (Morning/Afternoon/Night);Discover Weekly Engagement %;Discover Weekly_Categories;Repeat Song Rate %;Repeat Song Rate_Categories
U1020;33;Adults;Australia;Apple Music;EDM;1;417;Post Malone;Premium;Afternoon;87,4;Very High;44,49;Medium
U1021;29;Adults;USA;Deezer;Metal;7,5;12;Ed Sheeran;Premium;Morning;60,4;High;14,44;Low
U1022;40;Adults;Brazil;Tidal;Jazz;7,4;221;Dua Lipa;Premium;Morning;80,5;Very High;78,27;Very High
U1023;42;Adults;Brazil;Amazon Music;Rock;9,1;248;Post Malone;Free;Night;26;Medium;8,42;Low
U1024;35;Adults;South Korea;Deezer;Pop;3,6;461;Post Malone;Free;Night;42,2;Medium;77,18;Very High
U1025;53;Seniors;Brazil;Apple Music;Reggae;1,5;347;Ed Sheeran;Premium;Afternoon;6;Low;10,49;Low
U1026;23;Young Adults;Japan;Tidal;Hip-Hop;9;494;Taylor Swift;Free;Morning;88,1;Very High;62,45;High
U1027;27;Adults;France;Amazon Music;Jazz;3,4;437;Taylor Swift;Free;Morning;22,8;Low;21,55;Low
U1028;40;Adults;Germany;Spotify;Pop;4,5;475;Drake;Premium;Afternoon;6,9;Low;10,66;Low
U1029;42;Adults;Canada;Amazon Music;Reggae;2,5;195;Taylor Swift;Premium;Morning;63;High;47,74;Medium
U1030;51;Seniors;Canada;Amazon Music;EDM;1;195;Drake;Premium;Afternoon;22,7;Low;3;Low
U1031;42;Adults;UK;Amazon Music;R&B;3,4;52;Adele;Free;Afternoon;48,7;Medium;17,29;Low
U1032;47;Seniors;USA;Amazon Music;Jazz;9,4;400;Drake;Free;Night;2,9;Low;69,19;High
U1033;49;Seniors;South Korea;Apple Music;Hip-Hop;2,3;408;Dua Lipa;Free;Night;16,3;Low;78,98;Very High
U1034;58;Seniors;Brazil;Deezer;R&B;3,1;439;Drake;Premium;Morning;78,1;Very High;59,58;High
U1035;25;Adults;France;Apple Music;EDM;5,5;196;BTS;Free;Night;72,3;High;15,08;Low
U1036;38;Adults;UK;Deezer;Metal;1,7;80;The Weeknd;Premium;Night;54;High;20,32;Low
U1037;23;Young Adults;Japan;Apple Music;Reggae;4,4;95;Adele;Premium;Morning;8,6;Low;63,65;High
U1038;26;Adults;Japan;YouTube;EDM;6,2;4;BTS;Free;Afternoon;7,7;Low;7,15;Low
U1039;53;Seniors;USA;Apple Music;Reggae;8;300;Taylor Swift;Free;Afternoon;88,4;Very High;75,12;Very High
U1040;33;Adults;South Korea;Amazon Music;Reggae;3,2;454;Dua Lipa;Free;Afternoon;13,4;Low;69,69;High
U1041;55;Seniors;Brazil;Spotify;Country;9,7;434;Bad Bunny;Premium;Night;44,5;Medium;65,62;High
U1042;23;Young Adults;Brazil;Spotify;Pop;1,6;264;Adele;Premium;Night;38,8;Medium;12,88;Low
U1043;50;Seniors;France;Amazon Music;Hip-Hop;7,7;463;Drake;Premium;Morning;66,2;High;59,49;High
U1044;32;Adults;Brazil;Tidal;R&B;1,4;117;Ed Sheeran;Premium;Morning;26,1;Medium;8,72;Low
U1045;42;Adults;India;YouTube;Hip-Hop;6,7;464;Ed Sheeran;Premium;Morning;2,7;Low;45,91;Medium
U1046;53;Seniors;USA;Amazon Music;Pop;2,5;110;The Weeknd;Free;Afternoon;47,1;Medium;50,35;High
U1047;24;Young Adults;USA;YouTube;Rock;9,8;306;Drake;Premium;Afternoon;77,4;Very High;10,46;Low
U1048;40;Adults;Brazil;Deezer;EDM;8,1;342;Drake;Premium;Night;44,4;Medium;67,99;High
U1049;35;Adults;Australia;Apple Music;EDM;4,2;178;Dua Lipa;Free;Afternoon;34,6;Medium;19,68;Low
U1050;56;Seniors;France;Tidal;Rock;3,8;214;The Weeknd;Premium;Morning;22,6;Low;39,19;Medium
U1051;54;Seniors;Japan;Tidal;Metal;6,9;393;Taylor Swift;Free;Night;30,6;Medium;6,12;Low
U1052;14;Youth;South Korea;Deezer;Country;3,2;374;The Weeknd;Free;Night;37,3;Medium;8,55;Low
U1053;35;Adults;India;Deezer;Hip-Hop;1,5;315;Adele;Premium;Afternoon;85,5;Very High;79,32;Very High
U1054;48;Seniors;India;YouTube;Pop;0,7;490;Post Malone;Premium;Night;2,2;Low;77,31;Very High
U1055;20;Young Adults;Canada;Spotify;Reggae;4,3;475;The Weeknd;Free;Morning;85,1;Very High;78,75;Very High
U1056;48;Seniors;Brazil;YouTube;Classical;3,4;195;Billie Eilish;Premium;Afternoon;20,4;Low;11,51;Low
U1057;30;Adults;Japan;Tidal;Jazz;7,2;8;Dua Lipa;Free;Morning;48;Medium;50,57;High
U1058;17;Youth;UK;Amazon Music;Country;4,7;225;Adele;Free;Night;59,8;High;67,68;High
U1059;30;Adults;UK;Amazon Music;Classical;1,1;191;BTS;Free;Night;8,5;Low;53,98;High
U1060;18;Young Adults;France;YouTube;Country;9,8;320;Billie Eilish;Premium;Morning;11,1;Low;32,11;Medium
U1061;60;Seniors;USA;Apple Music;Rock;4,4;301;BTS;Free;Morning;35,5;Medium;55,35;High
U1062;35;Adults;Australia;Spotify;Jazz;6,2;283;Ed Sheeran;Free;Morning;84,7;Very High;56,46;High
U1063;52;Seniors;Canada;Apple Music;R&B;3,8;79;Bad Bunny;Premium;Afternoon;55,8;High;11,71;Low
U1064;26;Adults;South Korea;Tidal;Hip-Hop;5,3;451;Billie Eilish;Premium;Morning;32;Medium;23,09;Low
U1065;59;Seniors;UK;Deezer;R&B;5,6;454;BTS;Premium;Night;61,4;High;60,91;High
U1066;53;Seniors;USA;YouTube;Rock;9,7;151;Adele;Premium;Morning;36,4;Medium;30,59;Medium
U1067;51;Seniors;South Korea;Tidal;Jazz;9;363;Dua Lipa;Premium;Morning;20,1;Low;16,15;Low
U1068;48;Seniors;UK;YouTube;Jazz;6,6;434;Bad Bunny;Premium;Morning;63,2;High;8,39;Low
U1069;57;Seniors;Japan;YouTube;Jazz;3,8;94;The Weeknd;Free;Afternoon;80;Very High;55,59;High
U1070;57;Seniors;Australia;Tidal;EDM;9,5;71;BTS;Premium;Afternoon;78,8;Very High;59,12;High
U1071;40;Adults;India;Spotify;Reggae;5,7;212;Drake;Free;Afternoon;78,6;Very High;38,47;Medium
U1072;34;Adults;UK;YouTube;Country;8,8;310;Ed Sheeran;Free;Afternoon;33,2;Medium;18,58;Low
U1073;51;Seniors;France;Tidal;Jazz;4,2;236;Post Malone;Premium;Afternoon;71;High;67,63;High
U1074;27;Adults;South Korea;Spotify;Country;5,5;476;Post Malone;Premium;Afternoon;51,6;High;11,71;Low
U1075;27;Adults;Brazil;Amazon Music;R&B;2,5;122;Drake;Free;Morning;50,8;High;56,23;High
U1076;18;Young Adults;USA;Tidal;Classical;7,3;165;BTS;Free;Night;2,5;Low;6,21;Low
U1077;33;Adults;Japan;Deezer;EDM;7;440;Taylor Swift;Premium;Afternoon;18,1;Low;74,21;High
U1078;14;Youth;Australia;YouTube;Pop;6,1;171;Ed Sheeran;Premium;Night;11,7;Low;46,14;Medium
U1079;48;Seniors;South Korea;Tidal;Jazz;0,4;259;Post Malone;Free;Night;68;High;46,68;Medium
U1080;47;Seniors;UK;Apple Music;Jazz;6,1;259;Bad Bunny;Free;Morning;15,6;Low;66,64;High
U1081;22;Young Adults;Canada;Spotify;Country;0,2;64;Ed Sheeran;Premium;Morning;2,7;Low;23,04;Low
U1082;60;Seniors;Germany;Tidal;Metal;9,6;419;Bad Bunny;Free;Morning;3,3;Low;41,73;Medium
U1083;37;Adults;Japan;Apple Music;Hip-Hop;7,9;272;Billie Eilish;Premium;Afternoon;16,4;Low;53,46;High
U1084;19;Young Adults;South Korea;Tidal;Rock;4,2;129;Dua Lipa;Premium;Afternoon;18,1;Low;21,08;Low
U1085;40;Adults;Australia;Tidal;R&B;2,1;222;Post Malone;Premium;Afternoon;89,1;Very High;31,46;Medium
U1086;57;Seniors;Brazil;YouTube;R&B;0,8;207;The Weeknd;Free;Night;65,3;High;71,22;High
U1087;40;Adults;India;Tidal;Country;1,5;153;Taylor Swift;Premium;Afternoon;53,6;High;60,28;High
U1088;53;Seniors;Australia;Deezer;Pop;3,6;67;Drake;Free;Night;8,9;Low;30,39;Medium
U1089;43;Adults;South Korea;Spotify;EDM;3,7;70;BTS;Premium;Night;88,9;Very High;64,34;High
U1090;13;Youth;Australia;Amazon Music;Country;0,5;354;Bad Bunny;Free;Morning;25,4;Medium;72,64;High
U1091;42;Adults;UK;Amazon Music;Metal;7,1;339;Adele;Free;Morning;8,8;Low;41,19;Medium
U1092;46;Seniors;France;Deezer;Rock;4,4;170;Post Malone;Free;Night;56,9;High;21,18;Low
U1093;20;Young Adults;Brazil;Apple Music;Classical;9,6;150;Bad Bunny;Premium;Afternoon;26,2;Medium;61,41;High
U1094;16;Youth;Germany;Amazon Music;Hip-Hop;7,5;451;Billie Eilish;Premium;Morning;81,2;Very High;38,14;Medium
U1095;43;Adults;Canada;Amazon Music;Rock;7,6;328;Post Malone;Premium;Afternoon;71,2;High;58,49;High
U1096;59;Seniors;Canada;Spotify;EDM;4,7;87;Post Malone;Free;Night;61,3;High;59,11;High
U1097;27;Adults;South Korea;Apple Music;Pop;2,3;101;Adele;Free;Morning;6,5;Low;54,91;High
U1098;23;Young Adults;Australia;Spotify;Pop;5,2;419;Taylor Swift;Free;Night;19,7;Low;20,12;Low
U1099;46;Seniors;South Korea;Spotify;Hip-Hop;0,2;102;Billie Eilish;Free;Night;43,8;Medium;55,65;High
U1100;17;Youth;Brazil;YouTube;Reggae;6,3;486;Taylor Swift;Free;Night;57,3;High;3,41;Low
U1101;56;Seniors;France;Apple Music;Metal;5,5;282;Dua Lipa;Premium;Night;12,9;Low;65,06;High
U1102;36;Adults;Australia;YouTube;R&B;2,2;210;Billie Eilish;Premium;Night;66;High;63,34;High
U1103;59;Seniors;USA;Tidal;Pop;7,9;198;Ed Sheeran;Free;Night;58,4;High;13,84;Low
U1104;20;Young Adults;India;Deezer;Rock;2,4;274;Billie Eilish;Premium;Morning;45,4;Medium;55,09;High
U1105;24;Young Adults;Brazil;Deezer;EDM;1,2;427;Taylor Swift;Free;Afternoon;10,4;Low;1,64;Low
U1106;42;Adults;UK;Spotify;Reggae;1,3;84;Ed Sheeran;Free;Night;30,1;Medium;11,02;Low
U1107;47;Seniors;Japan;Spotify;Classical;7,9;427;Billie Eilish;Free;Night;67,3;High;7,54;Low
U1108;31;Adults;Japan;Amazon Music;Pop;9;87;The Weeknd;Premium;Night;47;Medium;27,36;Medium
U1109;38;Adults;Japan;Apple Music;Pop;5,3;208;The Weeknd;Premium;Afternoon;83,5;Very High;22,57;Low
U1110;55;Seniors;India;Deezer;Classical;8,9;119;The Weeknd;Premium;Afternoon;1,1;Low;55,69;High
U1111;49;Seniors;Canada;Tidal;Pop;3,3;118;Dua Lipa;Premium;Night;37;Medium;51,49;High
U1112;42;Adults;Australia;Deezer;Reggae;8,9;112;Taylor Swift;Premium;Afternoon;63,3;High;33,23;Medium
U1113;22;Young Adults;Australia;Deezer;Hip-Hop;3,9;88;BTS;Premium;Afternoon;63,5;High;35,52;Medium
U1114;33;Adults;Japan;Deezer;Pop;6,4;378;The Weeknd;Free;Night;86,8;Very High;68,75;High
U1115;21;Young Adults;Japan;Amazon Music;Rock;7;484;The Weeknd;Premium;Morning;69,4;High;21,67;Low
U1116;41;Adults;France;YouTube;Pop;1,2;411;Ed Sheeran;Premium;Morning;7,9;Low;58,73;High
U1117;53;Seniors;India;Apple Music;Rock;9,1;419;Adele;Premium;Night;36,4;Medium;57,24;High
U1118;39;Adults;India;Apple Music;Classical;4,6;113;Drake;Premium;Afternoon;3,9;Low;47,85;Medium
U1119;53;Seniors;France;YouTube;Hip-Hop;6,7;205;Dua Lipa;Premium;Afternoon;56,3;High;68,99;High
U1120;45;Seniors;UK;YouTube;R&B;8,2;411;The Weeknd;Premium;Afternoon;34,7;Medium;56,12;High
U1121;37;Adults;Canada;Amazon Music;Pop;5,8;129;Post Malone;Free;Morning;80,5;Very High;76,54;Very High
U1122;50;Seniors;India;Deezer;Country;3,5;122;Dua Lipa;Free;Morning;72;High;22,97;Low
U1123;56;Seniors;UK;Spotify;Country;1,8;454;Drake;Free;Night;27,2;Medium;45,77;Medium
U1124;13;Youth;USA;Apple Music;Classical;0,7;193;Billie Eilish;Free;Morning;43,2;Medium;79,98;Very High
U1125;14;Youth;France;Spotify;Reggae;0,7;318;BTS;Premium;Night;80,9;Very High;18,57;Low
U1126;22;Young Adults;Canada;Amazon Music;Hip-Hop;2,4;345;Taylor Swift;Free;Night;2,8;Low;25,12;Medium
U1127;48;Seniors;UK;Spotify;Metal;4,2;291;The Weeknd;Premium;Night;28;Medium;60,48;High
U1128;35;Adults;Brazil;Spotify;Jazz;2,5;282;The Weeknd;Free;Night;30,6;Medium;51,29;High
U1129;53;Seniors;Brazil;Amazon Music;Metal;5,8;133;Drake;Free;Night;74,8;High;19,01;Low
U1130;29;Adults;Canada;Deezer;Jazz;9,3;97;Adele;Premium;Morning;8,8;Low;12,85;Low
U1131;14;Youth;Canada;YouTube;Country;1;415;Taylor Swift;Premium;Night;19,9;Low;37,44;Medium
U1132;26;Adults;USA;Apple Music;Rock;4,4;226;Adele;Free;Morning;57,6;High;53,83;High
U1133;26;Adults;Canada;Deezer;Reggae;8,2;166;The Weeknd;Premium;Night;87,4;Very High;45,01;Medium
U1134;40;Adults;UK;Amazon Music;Metal;6,9;183;Billie Eilish;Premium;Morning;80,8;Very High;63,13;High
U1135;53;Seniors;Australia;Deezer;Jazz;2,9;344;Post Malone;Free;Afternoon;49;Medium;74,59;High
U1136;26;Adults;South Korea;YouTube;EDM;5,6;247;The Weeknd;Premium;Afternoon;1,2;Low;39,32;Medium
U1137;59;Seniors;Canada;YouTube;Hip-Hop;5,8;465;Ed Sheeran;Premium;Morning;23,3;Low;37,29;Medium
U1138;27;Adults;UK;Amazon Music;Pop;6,2;85;Billie Eilish;Free;Morning;25,6;Medium;3,47;Low
U1139;27;Adults;France;Deezer;Jazz;9,5;287;Dua Lipa;Premium;Afternoon;80,4;Very High;74,47;High
U1140;30;Adults;Japan;Tidal;Reggae;2,5;489;The Weeknd;Free;Morning;13,5;Low;12,53;Low
U1141;19;Young Adults;USA;Tidal;Reggae;2,4;130;Ed Sheeran;Premium;Afternoon;44,3;Medium;19,83;Low
U1142;39;Adults;Canada;Deezer;Reggae;0,8;25;Taylor Swift;Premium;Afternoon;37,2;Medium;74,53;High
U1143;34;Adults;Canada;Spotify;Rock;1;321;The Weeknd;Free;Afternoon;5,2;Low;1,16;Low
U1144;54;Seniors;Germany;Deezer;Hip-Hop;2;118;Bad Bunny;Premium;Morning;2,3;Low;53,96;High
U1145;26;Adults;India;Deezer;Classical;7,2;3;Drake;Free;Morning;5,7;Low;64,51;High
U1146;17;Youth;Brazil;YouTube;Jazz;8,9;368;Post Malone;Premium;Morning;75;High;8,53;Low
U1147;18;Young Adults;South Korea;Amazon Music;Rock;6,9;17;Post Malone;Free;Afternoon;84,1;Very High;16,55;Low
U1148;23;Young Adults;Canada;Spotify;Reggae;7,6;347;Adele;Free;Morning;66,1;High;9,35;Low
U1149;28;Adults;India;Amazon Music;R&B;0,4;491;Drake;Free;Night;12,9;Low;44,53;Medium
U1150;46;Seniors;France;YouTube;R&B;6,3;182;BTS;Premium;Morning;65,7;High;24,84;Low
U1151;48;Seniors;South Korea;Apple Music;Reggae;8,6;485;Ed Sheeran;Free;Afternoon;61,9;High;49,88;Medium
U1152;46;Seniors;USA;Apple Music;Jazz;2,3;445;BTS;Free;Afternoon;45,8;Medium;60,65;High
U1153;50;Seniors;Japan;Tidal;R&B;3,2;114;Billie Eilish;Premium;Night;88,3;Very High;18,74;Low
U1154;56;Seniors;Australia;Tidal;Pop;4,7;97;BTS;Premium;Afternoon;19,1;Low;27,92;Medium
U1155;46;Seniors;Japan;Deezer;R&B;4;73;Bad Bunny;Free;Afternoon;81,2;Very High;50,25;High
U1156;48;Seniors;USA;Apple Music;EDM;4,9;264;Bad Bunny;Free;Night;53,1;High;34,71;Medium
U1157;49;Seniors;France;YouTube;Country;8;421;BTS;Premium;Morning;7,7;Low;21,62;Low
U1158;57;Seniors;UK;Amazon Music;Pop;3,7;207;Drake;Free;Afternoon;12,5;Low;3,04;Low
U1159;57;Seniors;Canada;YouTube;Rock;9,1;275;Taylor Swift;Free;Afternoon;79,2;Very High;10,88;Low
U1160;46;Seniors;USA;Apple Music;EDM;6,1;120;BTS;Premium;Night;46,8;Medium;16,76;Low
U1161;52;Seniors;South Korea;Tidal;Jazz;8,2;276;Taylor Swift;Premium;Afternoon;85,8;Very High;32,87;Medium
U1162;57;Seniors;UK;Amazon Music;Hip-Hop;0,9;425;Post Malone;Free;Morning;62,1;High;53,78;High
U1163;32;Adults;Japan;Tidal;R&B;2,8;243;Billie Eilish;Premium;Afternoon;35,2;Medium;42,46;Medium
U1164;40;Adults;Canada;Tidal;Rock;3,7;274;The Weeknd;Free;Morning;59,4;High;7,97;Low
U1165;30;Adults;India;Amazon Music;Classical;9,9;435;Taylor Swift;Free;Night;49,2;Medium;12,25;Low
U1166;59;Seniors;Australia;Apple Music;R&B;9,9;29;Adele;Free;Afternoon;59,1;High;63,86;High
U1167;33;Adults;Canada;Apple Music;Country;8,2;394;Bad Bunny;Premium;Night;53,7;High;37,48;Medium
U1168;21;Young Adults;Japan;Apple Music;Pop;5,8;37;Taylor Swift;Free;Night;80,9;Very High;7,91;Low
U1169;60;Seniors;Australia;Spotify;Country;0,6;226;BTS;Free;Afternoon;76,8;Very High;1,44;Low
U1170;47;Seniors;Brazil;Deezer;EDM;8,7;138;Adele;Premium;Afternoon;12,7;Low;6,02;Low
U1171;16;Youth;UK;Amazon Music;Hip-Hop;7;226;Drake;Free;Morning;52,1;High;28,05;Medium
U1172;36;Adults;Canada;YouTube;R&B;9,1;486;Taylor Swift;Free;Night;4,4;Low;56,16;High
U1173;50;Seniors;India;YouTube;Country;8,7;91;Billie Eilish;Premium;Afternoon;70,8;High;26,29;Medium
U1174;23;Young Adults;Brazil;Deezer;Pop;9,1;168;The Weeknd;Premium;Afternoon;51,2;High;4,07;Low
U1175;48;Seniors;Canada;Spotify;Pop;7,3;371;Bad Bunny;Free;Afternoon;36,8;Medium;26,79;Medium
U1176;33;Adults;India;Deezer;Reggae;8,6;9;BTS;Premium;Afternoon;30,6;Medium;20,99;Low
U1177;31;Adults;Japan;Spotify;Country;2,7;463;Adele;Premium;Morning;72,2;High;9,46;Low
U1178;53;Seniors;India;Deezer;R&B;9,3;349;Billie Eilish;Free;Afternoon;63,2;High;20,97;Low
U1179;38;Adults;USA;YouTube;R&B;6,5;27;Ed Sheeran;Free;Morning;84,2;Very High;70,64;High
U1180;33;Adults;France;YouTube;Country;7;256;Ed Sheeran;Free;Afternoon;28,1;Medium;29,54;Medium
U1181;38;Adults;South Korea;Apple Music;EDM;7,7;140;The Weeknd;Free;Night;19,9;Low;7,45;Low
U1182;30;Adults;Brazil;Apple Music;EDM;7,9;389;Bad Bunny;Free;Afternoon;49;Medium;73,08;High
U1183;16;Youth;South Korea;Amazon Music;Jazz;7,1;392;Drake;Premium;Morning;8;Low;72,85;High
U1184;33;Adults;Germany;Tidal;Hip-Hop;9,8;496;Adele;Free;Night;63,4;High;41,82;Medium
U1185;17;Youth;India;Deezer;Hip-Hop;7,5;162;Adele;Premium;Night;22,6;Low;1,97;Low
U1186;49;Seniors;Brazil;Deezer;Country;2,1;160;Dua Lipa;Premium;Afternoon;29,9;Medium;33,78;Medium
U1187;33;Adults;Germany;Deezer;R&B;6,8;200;Drake;Premium;Night;57,7;High;54,55;High
U1188;44;Seniors;UK;Deezer;EDM;8,7;93;Billie Eilish;Premium;Morning;8,4;Low;31,94;Medium
U1189;38;Adults;Australia;Amazon Music;Rock;2,5;212;Taylor Swift;Premium;Night;49,5;Medium;32,51;Medium
U1190;32;Adults;Brazil;Deezer;Classical;3,3;33;Dua Lipa;Free;Afternoon;34,7;Medium;70,23;High
U1191;53;Seniors;France;YouTube;Metal;4,5;417;Bad Bunny;Premium;Night;36,7;Medium;1,3;Low
U1192;40;Adults;Canada;Spotify;Rock;5,8;385;Bad Bunny;Free;Night;47;Medium;25,57;Medium
U1193;58;Seniors;Australia;YouTube;Classical;5,3;354;The Weeknd;Premium;Afternoon;50,2;High;79,82;Very High
U1194;39;Adults;USA;Apple Music;Hip-Hop;9,2;460;The Weeknd;Free;Afternoon;51,2;High;43,57;Medium
U1195;49;Seniors;USA;Amazon Music;Country;5,9;443;Ed Sheeran;Free;Afternoon;73,1;High;36,69;Medium
U1196;27;Adults;Canada;Apple Music;Reggae;2,1;353;Taylor Swift;Premium;Morning;36,8;Medium;11,59;Low
U1197;32;Adults;India;Spotify;Reggae;2;31;Ed Sheeran;Premium;Afternoon;85,4;Very High;55,56;High
U1198;22;Young Adults;Germany;Spotify;EDM;1;1;Dua Lipa;Premium;Afternoon;80,1;Very High;68,51;High
U1199;19;Young Adults;Germany;YouTube;Hip-Hop;7,7;379;Adele;Free;Morning;77,3;Very High;60,39;High
U1200;35;Adults;Japan;Spotify;Jazz;1,7;181;Billie Eilish;Premium;Afternoon;40,3;Medium;8,26;Low
U1201;13;Youth;Brazil;Spotify;Country;9,8;462;Billie Eilish;Premium;Afternoon;53,3;High;72,35;High
U1202;28;Adults;Australia;Amazon Music;Pop;0,2;30;Post Malone;Premium;Night;47,3;Medium;4,01;Low
U1203;38;Adults;UK;Tidal;R&B;2,2;434;Billie Eilish;Premium;Morning;46,4;Medium;54,51;High
U1204;21;Young Adults;Australia;Amazon Music;Country;9,2;421;Ed Sheeran;Free;Night;4,9;Low;4,21;Low
U1205;25;Adults;UK;Tidal;Reggae;6,2;477;Drake;Premium;Morning;13,7;Low;10,18;Low
U1206;42;Adults;Australia;Deezer;Pop;6,2;267;Drake;Free;Night;31,1;Medium;59,18;High
U1207;57;Seniors;Brazil;Apple Music;R&B;6,3;334;Dua Lipa;Premium;Night;84,5;Very High;76,49;Very High
U1208;40;Adults;India;Tidal;R&B;7,5;309;BTS;Free;Night;73,8;High;32,67;Medium
U1209;51;Seniors;France;Apple Music;Metal;1,9;150;The Weeknd;Premium;Night;10,9;Low;38,18;Medium
U1210;22;Young Adults;South Korea;Amazon Music;Hip-Hop;6,2;168;Billie Eilish;Free;Afternoon;24,8;Low;6,37;Low
U1211;58;Seniors;USA;Amazon Music;EDM;3;258;Adele;Premium;Night;27,1;Medium;45,45;Medium
U1212;45;Seniors;France;Apple Music;Reggae;9,7;127;Adele;Premium;Morning;55;High;43,66;Medium
U1213;43;Adults;Canada;Tidal;Hip-Hop;7,3;314;Drake;Free;Night;22,6;Low;32,05;Medium
U1214;17;Youth;South Korea;Tidal;Jazz;4,2;111;Billie Eilish;Premium;Night;81;Very High;8,15;Low
U1215;36;Adults;Canada;Tidal;Metal;3,8;347;Bad Bunny;Free;Morning;17,2;Low;34,96;Medium
U1216;14;Youth;UK;Amazon Music;Country;0,9;424;Bad Bunny;Free;Morning;59,3;High;66,16;High
U1217;53;Seniors;Japan;Spotify;R&B;6,8;169;Taylor Swift;Free;Afternoon;13,5;Low;33,18;Medium
U1218;21;Young Adults;Canada;Tidal;Metal;5,3;268;The Weeknd;Premium;Afternoon;66,5;High;11,87;Low
U1219;33;Adults;South Korea;Tidal;EDM;7,7;262;Taylor Swift;Premium;Morning;17,4;Low;55,83;High
U1220;54;Seniors;Australia;Deezer;Country;7,3;448;Ed Sheeran;Premium;Afternoon;55,3;High;9,42;Low
U1221;18;Young Adults;UK;Deezer;Hip-Hop;9,5;246;Taylor Swift;Premium;Afternoon;69,8;High;54,47;High
U1222;36;Adults;Germany;Tidal;Rock;6,2;246;Ed Sheeran;Free;Night;52,7;High;53,76;High
U1223;25;Adults;Canada;Spotify;EDM;3,1;179;Billie Eilish;Premium;Night;28,6;Medium;3,52;Low
U1224;15;Youth;USA;YouTube;Hip-Hop;2,3;239;Dua Lipa;Premium;Afternoon;62,1;High;77,73;Very High
U1225;21;Young Adults;Germany;Deezer;R&B;8,8;270;Billie Eilish;Free;Afternoon;3,2;Low;79,59;Very High
U1226;39;Adults;South Korea;Amazon Music;EDM;4,5;277;The Weeknd;Premium;Morning;4;Low;48,24;Medium
U1227;18;Young Adults;South Korea;Amazon Music;Metal;5,8;479;Drake;Premium;Afternoon;21,7;Low;45,96;Medium
U1228;36;Adults;Japan;Spotify;Country;7,3;271;BTS;Free;Afternoon;30,6;Medium;6,75;Low
U1229;24;Young Adults;Germany;Tidal;Reggae;7,3;294;Bad Bunny;Premium;Night;20,9;Low;32,38;Medium
U1230;51;Seniors;Japan;YouTube;Reggae;6,4;414;Taylor Swift;Free;Morning;13,4;Low;55,93;High
U1231;26;Adults;France;Apple Music;Classical;6,6;217;Dua Lipa;Premium;Morning;39,8;Medium;15,41;Low
U1232;13;Youth;France;Tidal;Jazz;3,7;381;Taylor Swift;Free;Afternoon;60,5;High;63,68;High
